"Hele.landet";"Frafaldsprocent";"Frafaldsprocent_pct";"Kategori";"Kategori_sortering"
"København";0,0933;9,33;"9-11 pct";4
"Frederiksberg";0,0831;8,31;"7-9 pct";3
"Dragør";0,0651;6,51;"5-7 pct";2
"Tårnby";0,0942;9,42;"9-11 pct";4
"Albertslund";0,1138;11,38;"Over 11 pct";5
"Ballerup";0,0783;7,83;"7-9 pct";3
"Brøndby";0,1131;11,31;"Over 11 pct";5
"Gentofte";0,0401;4,01;"Under 5 pct";1
"Gladsaxe";0,0781;7,81;"7-9 pct";3
"Glostrup";0,0798;7,98;"7-9 pct";3
"Herlev";0,0888;8,88;"7-9 pct";3
"Hvidovre";0,0897;8,97;"7-9 pct";3
"Høje Taastrup";0,0866;8,66;"7-9 pct";3
"Ishøj";0,1006;10,06;"9-11 pct";4
"Lyngby-Taarbæk";0,0506;5,06;"5-7 pct";2
"Rødovre";0,0941;9,41;"9-11 pct";4
"Vallensbæk";0,058;5,8;"5-7 pct";2
"Allerød";0,0245;2,45;"Under 5 pct";1
"Egedal";0,0657;6,57;"5-7 pct";2
"Fredensborg";0,0566;5,66;"5-7 pct";2
"Frederikssund";0,0758;7,58;"7-9 pct";3
"Furesø";0,0708;7,08;"7-9 pct";3
"Gribskov";0,0711;7,11;"7-9 pct";3
"Halsnæs";0,1065;10,65;"9-11 pct";4
"Helsingør";0,086;8,6;"7-9 pct";3
"Hillerød";0,0845;8,45;"7-9 pct";3
"Hørsholm";0,0283;2,83;"Under 5 pct";1
"Rudersdal";0,0357;3,57;"Under 5 pct";1
"Bornholm";0,1037;10,37;"9-11 pct";4
"Greve";0,0765;7,65;"7-9 pct";3
"Køge";0,0876;8,76;"7-9 pct";3
"Lejre";0,0759;7,59;"7-9 pct";3
"Roskilde";0,072;7,2;"7-9 pct";3
"Solrød";0,0702;7,02;"7-9 pct";3
"Faxe";0,0698;6,98;"5-7 pct";2
"Guldborgsund";0,0922;9,22;"9-11 pct";4
"Holbæk";0,0892;8,92;"7-9 pct";3
"Kalundborg";0,0659;6,59;"5-7 pct";2
"Lolland";0,1333;13,33;"Over 11 pct";5
"Næstved";0,0803;8,03;"7-9 pct";3
"Odsherred";0,074;7,4;"7-9 pct";3
"Ringsted";0,104;10,4;"9-11 pct";4
"Slagelse";0,1058;10,58;"9-11 pct";4
"Sorø";0,0653;6,53;"5-7 pct";2
"Stevns";0,0537;5,37;"5-7 pct";2
"Vordingborg";0,1014;10,14;"9-11 pct";4
"Assens";0,0755;7,55;"7-9 pct";3
"Faaborg-Midtfyn";0,0614;6,14;"5-7 pct";2
"Kerteminde";0,0903;9,03;"9-11 pct";4
"Langeland";0,1162;11,62;"Over 11 pct";5
"Middelfart";0,0648;6,48;"5-7 pct";2
"Nordfyns";0,0918;9,18;"9-11 pct";4
"Nyborg";0,0835;8,35;"7-9 pct";3
"Odense";0,089;8,9;"7-9 pct";3
"Svendborg";0,0557;5,57;"5-7 pct";2
"Ærø";0,0854;8,54;"7-9 pct";3
"Billund";0,0996;9,96;"9-11 pct";4
"Esbjerg";0,0773;7,73;"7-9 pct";3
"Fanø";0,0888;8,88;"7-9 pct";3
"Fredericia";0,0892;8,92;"7-9 pct";3
"Haderslev";0,0814;8,14;"7-9 pct";3
"Kolding";0,0677;6,77;"5-7 pct";2
"Sønderborg";0,0932;9,32;"9-11 pct";4
"Tønder";0,0634;6,34;"5-7 pct";2
"Varde";0,0819;8,19;"7-9 pct";3
"Vejen";0,0868;8,68;"7-9 pct";3
"Vejle";0,0631;6,31;"5-7 pct";2
"Aabenraa";0,091;9,1;"9-11 pct";4
"Favrskov";0,0696;6,96;"5-7 pct";2
"Hedensted";0,0613;6,13;"5-7 pct";2
"Horsens";0,0704;7,04;"7-9 pct";3
"Norddjurs";0,0769;7,69;"7-9 pct";3
"Odder";0,0597;5,97;"5-7 pct";2
"Randers";0,0759;7,59;"7-9 pct";3
"Samsø";0,0919;9,19;"9-11 pct";4
"Silkeborg";0,0667;6,67;"5-7 pct";2
"Skanderborg";0,0617;6,17;"5-7 pct";2
"Syddjurs";0,0659;6,59;"5-7 pct";2
"Aarhus";0,0818;8,18;"7-9 pct";3
"Herning";0,081;8,1;"7-9 pct";3
"Holstebro";0,0697;6,97;"5-7 pct";2
"Ikast-Brande";0,0651;6,51;"5-7 pct";2
"Lemvig";0,0532;5,32;"5-7 pct";2
"Ringkøbing-Skjern";0,0602;6,02;"5-7 pct";2
"Skive";0,067;6,7;"5-7 pct";2
"Struer";0,0638;6,38;"5-7 pct";2
"Viborg";0,0651;6,51;"5-7 pct";2
"Brønderslev";0,08;8;"7-9 pct";3
"Frederikshavn";0,0743;7,43;"7-9 pct";3
"Hjørring";0,0868;8,68;"7-9 pct";3
"Jammerbugt";0,0722;7,22;"7-9 pct";3
"Læsø";0,1;10;"9-11 pct";4
"Mariagerfjord";0,0974;9,74;"9-11 pct";4
"Morsø";0,1323;13,23;"Over 11 pct";5
"Rebild";0,0722;7,22;"7-9 pct";3
"Thisted";0,0747;7,47;"7-9 pct";3
"Vesthimmerlands";0,0756;7,56;"7-9 pct";3
"Aalborg";0,0737;7,37;"7-9 pct";3
